Austria	9104772	20	455239	1.37
Belgium	11754004	22	534273	1.17
Bulgaria	6447710	17	379277	1.64
Croatia	3850894	12	320908	1.94
Cyprus	920701	6	153450	4.06
Czech Republic	10827529	21	515597	1.21
Denmark	5932654	15	395510	1.57
Estonia	1365884	7	195126	3.19
Finland	5563970	15	370931	1.68
France	68070697	81	840379	0.74
Germany	84358845	96	878738	0.71
Greece	10394055	21	494955	1.26
Hungary	9597085	21	457004	1.36
Ireland	5194336	14	371024	1.68
Italy	58850717	76	774352	0.80
Latvia	1883008	9	209223	2.98
Lithuania	2857279	11	259753	2.40
Luxembourg	660809	6	110135	5.65
Malta	542051	6	90342	6.89
Netherlands	17811291	31	574558	1.08
Poland	36753736	53	693467	0.90
Portugal	10476366	21	498446	1.25
Romania	19051562	33	577320	1.08
Slovakia	5428792	15	361919	1.72
Slovenia	2116792	9	235199	2.65
Spain	48059777	61	787865	0.79
Sweden	10521556	21	501026	1.24 
